Sequence	Trial_type	Stimulus	Accuracy
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
seq9	Illegal_Block4	jnakch	1
seq9	Legal_Block4	plouks	1
seq9	Legal_Block4	tsalp	1
seq9	Illegal_Block4	pkoung	1
seq9	Illegal_Block5	pkoung	1
seq9	Legal_Block5	tsalp	1
seq9	Legal_Block5	gzouls	1
seq9	Illegal_Block5	bnigd	0
seq9	Legal_Block5	pnoulf	1
seq9	Illegal_Block5	kgnamj	0
seq9	Illegal_Block5	kpimt	0
seq9	Legal_Block5	psalb	1
seq9	Legal_Block5	klift	1
seq9	Illegal_Block5	gbamch	0
seq9	Legal_Block5	snoupt	1
seq9	Illegal_Block5	mlagnk	0
seq9	Legal_Block5	stalm	1
seq9	Illegal_Block5	mzanf	1
seq9	Legal_Block5	plouks	1
seq9	Illegal_Block5	jnakch	1
seq9	Legal_Block5	djilk	1
seq9	Illegal_Block5	bjoumg	0
seq9	Legal_Block1	klift	1
seq9	Illegal_Block1	gbamch	1
seq9	Legal_Block1	plouks	1
seq9	Illegal_Block1	jnakch	1
seq9	Illegal_Block1	bnigd	0
seq9	Legal_Block1	gzouls	1
seq9	Legal_Block1	pnoulf	1
seq9	Illegal_Block1	kgnamj	0
seq9	Illegal_Block1	kpimt	1
seq9	Legal_Block1	psalb	1
seq9	Illegal_Block1	pkoung	1
seq9	Legal_Block1	tsalp	1
seq9	Legal_Block1	djilk	1
seq9	Illegal_Block1	bjoumg	1
seq9	Illegal_Block1	mzanf	1
seq9	Legal_Block1	stalm	1
seq9	Illegal_Block1	mlagnk	0
seq9	Legal_Block1	snoupt	1
seq9	Illegal_Block2	jnakch	1
seq9	Legal_Block2	plouks	1
seq9	Legal_Block2	pnoulf	1
seq9	Illegal_Block2	kgnamj	0
seq9	Illegal_Block2	gbamch	1
seq9	Legal_Block2	klift	1
seq9	Legal_Block2	tsalp	1
seq9	Illegal_Block2	pkoung	1
seq9	Legal_Block2	psalb	1
seq9	Illegal_Block2	kpimt	1
seq9	Legal_Block2	stalm	1
seq9	Illegal_Block2	mzanf	1
seq9	Legal_Block2	snoupt	1
seq9	Illegal_Block2	mlagnk	0
seq9	Legal_Block2	djilk	1
seq9	Illegal_Block2	bjoumg	1
seq9	Legal_Block2	gzouls	0
seq9	Illegal_Block2	bnigd	0
seq9	Legal_Block3	plouks	1
seq9	Illegal_Block3	jnakch	1
seq9	Illegal_Block3	gbamch	0
seq9	Legal_Block3	klift	1
seq9	Illegal_Block3	mlagnk	0
seq9	Legal_Block3	snoupt	1
seq9	Legal_Block3	gzouls	1
seq9	Illegal_Block3	bnigd	1
seq9	Legal_Block3	tsalp	1
seq9	Illegal_Block3	pkoung	1
seq9	Illegal_Block3	kpimt	0
seq9	Legal_Block3	psalb	1
seq9	Legal_Block3	stalm	1
seq9	Illegal_Block3	mzanf	1
seq9	Illegal_Block3	bjoumg	1
seq9	Legal_Block3	djilk	0
seq9	Legal_Block3	pnoulf	1
seq9	Illegal_Block3	kgnamj	0
seq9	Illegal_Block4	bjoumg	1
seq9	Legal_Block4	djilk	0
seq9	Legal_Block4	psalb	1
seq9	Illegal_Block4	kpimt	1
seq9	Illegal_Block4	gbamch	1
seq9	Legal_Block4	klift	1
seq9	Legal_Block4	gzouls	1
seq9	Illegal_Block4	bnigd	0
seq9	Legal_Block4	stalm	1
seq9	Illegal_Block4	mzanf	1
seq9	Illegal_Block4	kgnamj	0
seq9	Legal_Block4	pnoulf	1
seq9	Legal_Block4	snoupt	1
seq9	Illegal_Block4	mlagnk	0
